activity_name	activity_type	country	date	duration	participants	budget	sdg	unit
Champignonnière2026	Activity	France	15/06/2026	1	38	1909.5	Quality Education	Cubs | Flowers | Scouts | Guides
Camp 2026 Guild of J’ose Yerres	Camp	France	15/06/2026	8	58	2914.5	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Camp 2026 - scouts and guides	Camp	France	15/06/2026	5	96	4824	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Camp 2026 - jeannettes cubs	Camp	France	15/06/2026	8	89	4174.1	Quality Education | Good Health and Well-being | Life on Land	Cubs
Scarves, Badges 2025	Activity	France	15/06/2025	2	55	3132.25	Quality Education	Cubs | Flowers | Scouts | Guides
Camp 2026 Guilde de J'ose Yerres	Camp	France	15/06/2026	5	68	3872.6	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Camp 2026 - scouts and guides	Camp	France	15/06/2026	10	122	6130.5	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Camp 2026 - jeannettes cubs	Camp	France	15/06/2026	8	60	2613	Quality Education | Good Health and Well-being | Life on Land	Cubs
Support the Caravelles Project of the Rangueil / Toulouse Scout group	Activity	France	25/02/2025	2	74	2726.9	No Poverty	Cubs | Flowers | Scouts | Guides
Support the Rangueil Scouts and Guides of France Group	Activity	France	08/02/2025	1	45	1809	No Poverty	Cubs | Flowers | Scouts | Guides
Boutique Compa 2025	Activity	France	15/06/2025	1	75	3517.5	Quality Education	Cubs | Flowers | Scouts | Guides
Parents' meal	Activity	France	13/12/2025	1	36	1929.6	Zero Hunger	Family
Make a donation	Event	France	19/06/2025	1	31	1765.45	No Poverty	Scouts | Guides
Operation calendars 2026	Activity	France	15/06/2026	2	32	1608	Quality Education	Cubs | Flowers | Scouts | Guides
The SGDF scout outfit	Activity	France	15/12/2025	2	37	2974.8	Quality Education	Cubs | Flowers | Scouts | Guides
Extrajob	Activity	France	22/08/2025	2	55	1842.5	Quality Education	Cubs | Flowers | Scouts | Guides
PIOKA weekend of January 17 and 18, 2026	Activity	France	15/06/2026	2	57	3246.15	Quality Education	Cubs | Flowers | Scouts | Guides
SGDF 8th VDM Hem badges	Activity	France	06/08/2025	1	70	3986.5	Quality Education	Cubs | Flowers | Scouts | Guides
Support the compas solidarity project in Senegal	Activity	France	06/03/2025	2	44	1474	No Poverty	Rovers | Rangers | Leaders
Epiphany Meal 2026	Activity	France	15/06/2026	1	69	3004.95	Zero Hunger	Cubs | Flowers | Scouts | Guides
Epiphany Meal	Activity	France	10/06/2025	2	57	3055.2	Zero Hunger	Cubs | Flowers | Scouts | Guides
 “International Meeting” project of the Pionniers-Caravelles	Meeting	France	29/10/2025	1	39	391.95	Partnerships for the Goals	Scouts | Guides | Rovers | Rangers
Loan of premises - Chantilly	Activity	France	17/09/2025	2	63	3376.8	Quality Education	Cubs | Flowers | Scouts | Guides
Make a donation	Activity	France	29/09/2025	2	70	2345	No Poverty	Cubs | Flowers | Scouts | Guides
SGDF Chantilly-Bayard scarf 	Activity	France	02/06/2025	1	35	1993.25	Quality Education	Cubs | Flowers | Scouts | Guides
Lot de 4 insignes à coudre 	Activity	France	24/10/2025	1	47	2361.75	Quality Education	Cubs | Flowers | Scouts | Guides
SGDF shirt without badges 	Activity	France	16/03/2025	2	71	3329.9	Quality Education	Cubs | Flowers | Scouts | Guides
SGDF shirt and set of 4 badges 	Event	France	20/12/2025	3	83	4170.75	Quality Education	Scouts | Guides
Companions 2025 gift wrap	Activity	France	15/06/2025	1	56	2814	Quality Education	Cubs | Flowers | Scouts | Guides
WE territorial companions	Activity	France	22/11/2025	1	74	3966.4	Quality Education	Cubs | Flowers | Scouts | Guides
WE de Noel SG 2025	Activity	France	15/06/2025	2	54	2170.8	Quality Education	Cubs | Flowers | Scouts | Guides
Companions & Farfadets Membership 2025-2026	Event	France	15/06/2025	1	99	3316.5	Quality Education	Scouts | Guides
2025/26 membership to the Scouts and Guides of France Group in Herblay-sur-Seine	Activity	France	15/06/2025	2	40	1608	Quality Education	Cubs | Flowers | Scouts | Guides
Compass gift wrap (Christmas 2025)	Activity	France	15/06/2025	1	32	1179.2	Quality Education	Cubs | Flowers | Scouts | Guides
2026 Calendars	Activity	France	15/06/2026	2	46	2619.7	Quality Education	Cubs | Flowers | Scouts | Guides
Boutique Scoute 2025/2026	Activity	France	15/06/2025	1	54	4703.4	Quality Education	Cubs | Flowers | Scouts | Guides
Support the Pantin St Exupéry Scout Group	Activity	France	08/05/2025	2	31	1246.2	No Poverty	Cubs | Flowers | Scouts | Guides
Support the Pantin St Exupéry Scout Group	Activity	France	14/09/2025	2	42	2673.3	No Poverty	Cubs | Flowers | Scouts | Guides
winter camp 2026 red - PARIS	Camp	France	15/06/2026	6	104	9755.2	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides | Rovers
SGDF 2025 Shop	Activity	France	15/06/2025	2	35	1758.75	Quality Education	Cubs | Flowers | Scouts | Guides
Appel aux dons	Activity	France	20/12/2025	1	59	2371.8	Quality Education	Cubs | Flowers | Scouts | Guides
Comparison	Activity	France	18/03/2025	2	42	1407	Quality Education	Cubs | Flowers | Scouts | Guides
Compatéecrust	Activity	France	07/12/2025	1	75	2512.5	Quality Education	Cubs | Flowers | Scouts | Guides
Lourdes Pilgrimage from April 11 to 18, 2026 Deposit	Activity	France	15/06/2026	1	31	1142.35	Quality Education	Cubs | Flowers | Scouts | Guides
SGDF donation wasquehal cross	Activity	France	08/02/2025	2	79	4499.05	No Poverty	Cubs | Flowers | Scouts | Guides
inscription chef 2025	Activity	France	15/06/2025	1	71	3805.6	Quality Education	Leaders
Scout Uniform Order 2024-2025	Activity	France	15/06/2025	1	38	2036.8	Quality Education	Cubs | Flowers | Scouts | Guides
Scout Uniform Order 2025-2026	Activity	France	15/06/2024	1	34	1366.8	Quality Education	Cubs | Flowers | Scouts | Guides
BAFA participation	Event	France	31/07/2025	4	98	7879.2	Quality Education	Scouts | Guides
Scout outfit order	Activity	France	30/06/2025	1	67	3142.3	Quality Education	Cubs | Flowers | Scouts | Guides
Sortie Cité des sciences	Journey	France	17/11/2025	4	38	2036.8	Quality Education	Scouts | Guides
WIG participation - April 5/6, 2025	Event	France	15/06/2025	5	79	5822.3	Quality Education	Scouts | Guides
We camped piok participation - November 9/10	Camp	France	09/01/2025	9	88	5306.4	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Sale of Easter chocolates by PioK	Activity	France	05/01/2025	1	73	3179.15	Quality Education	Cubs | Flowers | Scouts | Guides
Participation we territorial Scouts and Guides	Activity	France	14/02/2025	1	67	2468.95	Quality Education	Cubs | Flowers | Scouts | Guides
CAMP ETE 2024 - PioK Cormeilles	Camp	France	15/06/2024	8	147	8864.1	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
SG PAI summer camp	Camp	France	08/03/2025	8	92	8013.2	Quality Education | Good Health and Well-being | Life on Land	Cubs | Flowers | Scouts | Guides
SUMMER CAMP 2024 - scouts/guides	Camp	France	15/06/2024	9	55	4974.75	Quality Education | Good Health and Well-being | Life on Land	Cubs | Flowers | Scouts | Guides
Companions summer camp 2024	Camp	France	15/06/2024	11	142	13319.6	Quality Education | Good Health and Well-being | Life on Land	Cubs | Flowers | Scouts | Guides
SUMMER CAMP 2023 - Cub Scouts / Jeannettes	Camp	France	15/06/2023	10	105	9497.25	Quality Education | Good Health and Well-being | Life on Land	Cubs
CAMP ETE 2023 - PioK Cormeilles	Camp	France	15/06/2023	4	143	8143.85	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
SG summer camp payment	Camp	France	21/08/2025	11	144	12060	Quality Education | Good Health and Well-being | Life on Land	Cubs | Flowers | Scouts | Guides
PioK train Saturday June 22	Activity	France	07/11/2025	1	64	2572.8	Quality Education	Cubs | Flowers | Scouts | Guides
SUMMER CAMP 2023 - scouts/guides	Camp	France	15/06/2023	13	136	13212.4	Quality Education | Good Health and Well-being | Life on Land	Cubs | Flowers | Scouts | Guides
SUMMER CAMP 2024 - FARFADETS	Camp	France	15/06/2024	11	131	10971.25	Quality Education | Good Health and Well-being | Life on Land	Cubs | Flowers | Scouts | Guides
CAMP ETE 2023 - Farfadets	Camp	France	15/06/2023	5	148	4958	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
WE camped LJ April 6-7, 2024	Camp	France	15/06/2024	10	138	6472.2	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
WE SG April 27-28	Activity	France	16/02/2025	1	62	3530.9	Quality Education	Cubs | Flowers | Scouts | Guides
We SG April 27-28 PAI	Activity	France	22/01/2025	1	38	1527.6	Quality Education	Cubs | Flowers | Scouts | Guides
WE camped Piok	Camp	France	15/06/2023	9	125	7956.25	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
CAMP ETE PAI	Camp	France	29/01/2025	10	67	3591.2	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Easter chocolate sales	Activity	France	20/04/2025	2	65	2613	Quality Education	Cubs | Flowers | Scouts | Guides
DON group of Cormeilles	Event	France	01/09/2025	2	44	1768.8	Quality Education	Scouts | Guides
Compass chocolates!	Activity	France	06/09/2025	1	77	4127.2	Quality Education	Cubs | Flowers | Scouts | Guides
Camp Farfadets 	Camp	France	15/06/2025	4	123	5768.7	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Extra Job Piok 24/25	Activity	France	22/06/2025	1	35	1289.75	Quality Education	Cubs | Flowers | Scouts | Guides
2024 calendar challenge	Activity	France	15/06/2024	2	54	2170.8	Quality Education	Cubs | Flowers | Scouts | Guides
Distribution of Scout Calendars	Activity	France	13/10/2025	1	33	1437.15	Quality Education	Cubs | Flowers | Scouts | Guides
BAFA participation	Event	France	08/06/2023	3	67	2693.4	Quality Education	Scouts | Guides
WIG participation 	Event	France	15/06/2025	4	32	2572.8	Quality Education	Scouts | Guides
Participation we campé piok 	Camp	France	05/12/2025	10	124	7892.6	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Participation we territorial Scouts and Guides	Activity	France	08/03/2025	2	65	3048.5	Quality Education	Cubs | Flowers | Scouts | Guides
SG PAI summer camp	Camp	France	27/07/2025	7	66	5527.5	Quality Education | Good Health and Well-being | Life on Land	Cubs | Flowers | Scouts | Guides
Companions summer camp 2024	Camp	France	15/06/2024	13	60	5427	Quality Education | Good Health and Well-being | Life on Land	Cubs | Flowers | Scouts | Guides
Camp Farfadets 	Camp	France	15/06/2025	5	139	8381.7	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
WE LVTX-JNTS	Activity	France	09/10/2025	2	33	1879.35	Quality Education	Cubs | Flowers | Scouts | Guides
Donation for Jean's family	Activity	France	16/05/2025	1	45	1809	No Poverty	Family
WE LVTX-JNTS MARCH 	Activity	France	25/12/2025	1	41	2334.95	Quality Education	Cubs | Flowers | Scouts | Guides
Blue WE 	Event	France	15/06/2024	5	69	2773.8	Quality Education	Scouts | Guides
Game night	Activity	France	09/06/2025	2	70	3986.5	Quality Education	Cubs | Flowers | Scouts | Guides
Boutique Impeesa	Event	France	02/10/2025	3	88	2948	Quality Education	Scouts | Guides
Compatoche Project	Event	France	29/09/2025	5	53	3018.35	Quality Education	Scouts | Guides
Camp 2025-2026 Ste Marie des Vallées	Camp	France	15/06/2025	6	150	7537.5	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Compatoche Project	Activity	France	08/06/2023	1	68	3189.2	Quality Education	Cubs | Flowers | Scouts | Guides
Donation campaign 2025-2026 Ste Marie des Vallées	Camp	France	15/06/2025	9	82	4669.9	No Poverty	Scouts | Guides
Adhésions 2025-2026 (Louveteaux-Jeannettes, Scouts-Guides, Pionniers-Caravelles)	Event	France	15/06/2025	1	84	5909.4	Quality Education	Cubs
Memberships 2025-2026 (Farfadets / Compagnons)	Activity	France	15/06/2025	1	44	2948	Quality Education	Rovers
Adhésions 2025-2026 (Responsables)	Activity	France	15/06/2025	1	66	2432.1	Quality Education	Cubs | Flowers | Scouts | Guides
Order outfits - Youth	Activity	France	29/05/2025	2	54	1447.2	Quality Education	Cubs | Flowers | Scouts | Guides
Order outfits - Chefs / RG	Activity	France	25/11/2025	2	70	4455.5	Quality Education	Leaders
Commande Foulard, insignes, chemises occasion (toute l'année)	Activity	France	10/02/2025	1	50	2177.5	Quality Education	Cubs | Flowers | Scouts | Guides
Activities	Activity	France	02/12/2025	1	75	4271.25	Quality Education	Cubs | Flowers | Scouts | Guides
Extra-jobs - Companions and Pioneers/Caravels	Meeting	France	02/12/2025	1	39	1175.85	Peace, Justice and Strong Institutions | Quality Education	Scouts | Guides | Rovers | Rangers
Membership2025-2026	Activity	France	15/06/2025	2	77	2579.5	Quality Education	Cubs | Flowers | Scouts | Guides
My shirt	Event	France	30/06/2025	2	90	3015	Quality Education	Scouts | Guides
Jus de pomme BIO	Activity	France	15/05/2025	1	41	1785.55	Quality Education	Cubs | Flowers | Scouts | Guides
Make a donation	Event	France	26/01/2025	3	50	1675	No Poverty	Scouts | Guides
PIO - Christmas bun operation 2024	Meeting	France	15/06/2024	1	16	804	Peace, Justice and Strong Institutions | Quality Education	Scouts | Guides | Rovers | Rangers
Group purchase SGDF Saint-Symphorien	Activity	France	15/10/2025	1	45	1507.5	Quality Education	Cubs | Flowers | Scouts | Guides
Group purchase SGDF Saint-Symphorien 2023-2024	Activity	France	15/06/2023	2	43	1728.6	Quality Education	Cubs | Flowers | Scouts | Guides
Sweats SGDF Saint Symphorien	Activity	France	20/07/2025	2	66	3537.6	Quality Education	Cubs | Flowers | Scouts | Guides
badges/scarf/shirt SGDF St-Symphorien	Activity	France	04/02/2025	2	61	3065.25	Quality Education	Cubs | Flowers | Scouts | Guides
Make a donation	Event	France	16/02/2025	5	77	3095.4	No Poverty	Scouts | Guides
SGDF Sainte Thérèse Shop	Activity	France	23/11/2025	1	39	1306.5	Quality Education	Cubs | Flowers | Scouts | Guides
Make a donation	Event	France	20/01/2025	1	71	3567.75	No Poverty	Scouts | Guides
Boutique SGDF Sainte Thérèse	Activity	France	13/08/2025	1	70	3048.5	Quality Education	Cubs | Flowers | Scouts | Guides
order of second chance shirts 2025/2026	Activity	France	15/06/2025	2	52	2438.8	Climate Action	Cubs | Flowers | Scouts | Guides
Group purchase Scout Shop	Activity	France	08/07/2025	1	45	2412	Quality Education	Cubs | Flowers | Scouts | Guides
Group purchase Scout Shop	Activity	France	11/08/2025	1	34	3758.7	Quality Education	Cubs | Flowers | Scouts | Guides
Music Festival T-Shirt	Activity	France	06/08/2025	2	39	1698.45	Quality Education	Cubs | Flowers | Scouts | Guides
Camp Scouts - Guides Niort 2025	Camp	France	15/06/2025	4	127	11487.15	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Camp Scouts - LRSY Guides 2025	Camp	France	15/06/2025	7	139	4656.5	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Camp Pioneers-Caravelles 2025	Camp	France	15/06/2025	5	78	3135.6	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Support the 2025 summer camp “lescompasdansl’oeil”	Assembly	France	15/06/2025	3	41	3708.45	No Poverty	Cubs | Flowers | Scouts | Guides
Camp Scouts - Guides Niort 2025	Camp	France	15/06/2025	6	61	3473.95	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Camp Scouts - Guides LRSY 2025	Camp	France	15/06/2025	6	57	5537.55	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Camp Pioneers-Caravelles 2025	Camp	France	15/06/2025	10	85	5125.5	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Make a donation to the Scouts and Guides of France Group - IXe Marine Brest	Activity	France	29/07/2025	1	58	2331.6	Life Below Water | No Poverty	Cubs | Flowers | Scouts | Guides
Make a donation to the Scouts and Guides of France Group - IXe Marine Brest	Activity	France	17/01/2025	1	34	1708.5	Life Below Water | No Poverty	Cubs | Flowers | Scouts | Guides
Make a donation	Activity	France	08/09/2025	1	68	3417	No Poverty	Cubs | Flowers | Scouts | Guides
Make a donation	Activity	France	29/10/2025	2	47	2676.65	No Poverty	Cubs | Flowers | Scouts | Guides
Make a donation	Activity	France	15/02/2025	2	76	4328.2	No Poverty	Cubs | Flowers | Scouts | Guides
[RED] WE May 24-25 Charcenne	Meeting	France	04/12/2025	1	24	321.6	Peace, Justice and Strong Institutions | Quality Education	Scouts | Guides | Rovers | Rangers
[RED] Reverse WE June 14-15, 2025	Activity	France	15/06/2025	2	55	2763.75	Quality Education	Cubs | Flowers | Scouts | Guides
WE 6/7 March	Activity	France	16/04/2025	1	49	2462.25	Quality Education	Cubs | Flowers | Scouts | Guides
[Rouge] Jamborée	Activity	France	27/04/2025	2	75	4020	Quality Education	Cubs | Flowers | Scouts | Guides
SGDF - RED	Activity	France	24/08/2025	1	30	1708.5	Quality Education	Cubs | Flowers | Scouts | Guides
Estienne d’Orves t-shirt	Activity	France	17/07/2025	2	76	3564.4	Quality Education	Cubs | Flowers | Scouts | Guides
2025 CALENDAR	Activity	France	15/06/2025	1	47	2361.75	Quality Education	Cubs | Flowers | Scouts | Guides
Light of Peace of Bethlehem!	Activity	France	05/10/2025	1	43	1440.5	Peace, Justice and Strong Institutions	Cubs | Flowers | Scouts | Guides
Sapins de Noël 2024	Activity	France	15/06/2024	2	70	3986.5	Quality Education	Cubs | Flowers | Scouts | Guides
Make a donation	Activity	France	28/10/2025	1	76	3309.8	No Poverty	Cubs | Flowers | Scouts | Guides
Support our solidarity project in Namibia	Activity	France	17/11/2025	2	74	2726.9	No Poverty	Rovers | Rangers | Leaders
Registration	Activity	France	27/12/2025	1	49	1805.65	Quality Education	Cubs | Flowers | Scouts | Guides
Make a donation	Activity	France	29/12/2025	1	36	1326.6	No Poverty	Cubs | Flowers | Scouts | Guides
Don aux Compas sur la Lune	Activity	France	09/10/2025	2	44	1768.8	Quality Education	Cubs | Flowers | Scouts | Guides
Make a donation to Les Pi'verts	Activity	France	25/03/2025	2	48	2572.8	No Poverty	Cubs | Flowers | Scouts | Guides
Group Foch Foch Eu-Mers-Le Tréport Donation	Activity	France	04/05/2025	1	42	2251.2	No Poverty	Cubs | Flowers | Scouts | Guides
Group Foch Foch Eu-Mers-Le Tréport Donation	Activity	France	27/10/2025	2	31	1350.05	No Poverty	Cubs | Flowers | Scouts | Guides
Camp 2023- 2022	Camp	France	15/06/2023	6	145	5343.25	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Camp	Camp	France	12/04/2022	8	117	6271.2	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
Projects 2025/2026 St Christophe de Javel Group	Activity	France	15/06/2025	1	72	2894.4	Quality Education	Cubs | Flowers | Scouts | Guides
Donate to Scouts and Guides of France marine group Estienne d Orves Vannes	Activity	France	06/08/2025	1	33	1105.5	Life Below Water	Cubs | Flowers | Scouts | Guides
Donate to Scouts and Guides of France marine group Estienne d Orves Vannes	Activity	France	21/05/2025	1	49	2298.1	Life Below Water	Cubs | Flowers | Scouts | Guides
Triplette Bike Project Fundraiser	Activity	France	25/06/2025	1	49	2626.4	Quality Education	Cubs | Flowers | Scouts | Guides
Casamance Summer Solidarity Project	Activity	France	13/06/2025	2	75	2512.5	No Poverty	Rovers | Rangers | Leaders
100th Anniversary Sweatshirt Sale	Activity	France	30/04/2025	2	78	3919.5	Quality Education	Cubs | Flowers | Scouts | Guides
SGDF Calendar 2026 - Clamart Group	Activity	France	15/06/2026	1	44	1916.2	Quality Education	Cubs | Flowers | Scouts | Guides
Make a donation for the 2027 PIOK Jamboree to the JACQUES SEVIN DE CHAUMONT Group	Activity	France	15/06/2027	2	61	3473.95	No Poverty	Cubs | Flowers | Scouts | Guides
Rainbow Scout Donations	Event	France	15/05/2025	5	33	773.85	No Poverty	Scouts | Guides
Dons event	Event	France	01/09/2025	2	40	2546	Quality Education	Scouts | Guides
Snow day	Activity	France	29/10/2025	2	69	2311.5	Quality Education	Cubs | Flowers | Scouts | Guides
Scout-guide weekend 	Jouney	France	11/08/2025	2	70	4455.5	Quality Education	Scouts | Guides
WE PioK	Activity	France	17/07/2025	2	43	1584.55	Quality Education	Cubs | Flowers | Scouts | Guides
Sale of t-shirts  sweatshirts VALENCE 1	Activity	France	29/04/2025	1	49	1641.5	Quality Education	Cubs | Flowers | Scouts | Guides
Training Registration	Meeting	France	14/03/2025	1	19	127.3	Quality Education	Scouts | Guides | Rovers | Rangers
Thank the chefs for their investment in your children!	Assembly	France	21/04/2025	1	68	3417	Quality Education	Leaders
CUP OF CUB AND JEANNET LEADERS	Event	France	14/08/2025	2	80	2412	Quality Education	Cubs
SHOP order from the Valence 1 scout group	Activity	France	24/01/2025	1	49	3447.15	Quality Education	Cubs | Flowers | Scouts | Guides
Prize pool for Cub Scout Jeannette leaders	Event	France	12/12/2025	3	90	3316.5	Quality Education	Cubs
Commande ton sweat exclusif VALENCE 1 !	Activity 	France	20/06/2025	1	52	2090.4	Quality Education	Cubs | Flowers | Scouts | Guides
Prize pool for Scout/Guide leaders	Event	France	28/01/2025	4	57	2482.35	Quality Education	Guides
Sale of cheese - Valence 1 scout group	Activity	France	18/09/2025	2	33	2100.45	Quality Education	Cubs | Flowers | Scouts | Guides
Purchase Scarves  Badges 2025-2026	Activity	France	15/06/2025	2	78	3919.5	Quality Education	Cubs | Flowers | Scouts | Guides
Cub Scout Camp 2025	Camp	France	15/06/2025	9	99	6301.35	Quality Education | Good Health and Well-being | Life on Land	Cubs
Camp pionniers-caravelles 2025 (2)	Camp	France	15/06/2025	7	129	10803.75	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
ERRATUM Pioneer-caravel camp 2025	Camp	France	15/06/2025	6	87	4954.65	Quality Education | Good Health and Well-being | Life on Land	Scouts | Guides
